timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1623577043551,0,50,1.0986328125E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043552,0,67,1.4721679687500002E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043567,0,82,1.8017578124999998E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043568,0,85,1.86767578125E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043569,0,107,2.35107421875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043570,0,75,1.64794921875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043584,0,81,1.77978515625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043585,0,77,1.69189453125E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043586,0,60,1.318359375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043598,0,53,1.1645507812500002E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043599,0,43,9.448242187500001E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043600,0,21,4.614257812500001E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043616,0,16,3.515625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043617,0,20,4.39453125E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043632,0,48,1.0546875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043633,0,35,7.6904296875E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043651,0,43,9.448242187500001E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043652,0,36,7.91015625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043653,0,17,3.7353515625000003E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043654,0,-265,-5.82275390625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043670,0,-264,-5.80078125E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043671,0,-260,-5.712890625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043672,0,-279,-6.13037109375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043673,0,-259,-5.69091796875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043686,0,-260,-5.712890625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043687,0,-263,-5.7788085937500005E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043688,0,7,1.5380859375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043702,0,28,6.15234375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043703,0,43,9.448242187500001E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043716,0,89,1.95556640625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043717,0,88,1.93359375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043718,0,109,2.39501953125E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043732,0,123,2.70263671875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
